Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
caja,"0,0674088250200049","-0,229107086709065","0,0869499659473606",0,0,0,"0,593575785097037","0,00164683447052826","-4,98457893042727E-07","-2,88982729740066E-08","0,00124620812191765","4,37928200446627E-06","0,0024147515466342",0,0,0,0,0,0,package://robot_boat_simple/meshes/caja.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://robot_boat_simple/meshes/caja.STL,,ensamble_simple-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
motor1,"0,172573670737875","-0,227745458135946","0,0379154286831428",0,0,0,"0,0338272475621472","3,59775886940147E-06","1,33747826147588E-21","-1,4152161817721E-21","1,02720341448678E-05",0,"1,02720341448678E-05",0,0,0,0,0,0,package://robot_boat_simple/meshes/motor1.STL,"0,796078431372549","0,823529411764706","0,937254901960784",1,0,0,0,0,0,0,package://robot_boat_simple/meshes/motor1.STL,,motor_acuatico-1,Origin_motor1,Axis_motor12,motor1,prismatic,"-0,078491","-0,1107","0,017262","-2,6816",0,"-1,5708",caja,0,"0,44397","0,89604",0,0,0,0,,,,,,,,
motor2,"0,172573670735101","0,0900437999823295","0,0386318147464088",0,0,0,"0,0338272475621472","3,59775886940148E-06","8,9047476417326E-22","1,46990538215685E-21","1,02720341448678E-05","-1,6940658945086E-21","1,02720341448678E-05",0,0,0,0,0,0,package://robot_boat_simple/meshes/motor2.STL,"0,796078431372549","0,823529411764706","0,937254901960784",1,0,0,0,0,0,0,package://robot_boat_simple/meshes/motor2.STL,,motor_acuatico-4,Origin_motor2,Axis_motor2,motor2,prismatic,"0,071509","-0,1107","0,015797","2,105",0,"-1,5708",caja,0,"0,86066","-0,50917",0,0,0,0,,,,,,,,
